room,room_iou,walls_gt,walls_pred,walls_matched,walls_missed,walls_extra,walls_err_mean_cm,walls_err_median_cm,walls_iou_mean,doors_gt,doors_pred,doors_matched,doors_missed,doors_extra,doors_err_mean_cm,doors_err_median_cm,doors_iou_mean,windows_gt,windows_pred,windows_matched,windows_missed,windows_extra,windows_err_mean_cm,windows_err_median_cm,windows_iou_mean
Area_5_office_5,0.5517790759426447,6,6,6,0,0,7.62,0.85,0.9483,1,1,1,0,0,40.1,40.1,0.6792,2,1,1,1,0,0.5,0.5,0.9945
Area_5_office_6,0.26519607843137255,8,7,7,1,0,53.81,30.5,0.5872,1,1,1,0,0,6.8,6.8,0.9272,4,1,1,3,0,3.9,3.9,0.0
Area_5_office_7,0.2932361279870393,5,9,5,0,4,7.38,8.0,0.8825,1,1,1,0,0,9.6,9.6,0.8917,4,2,2,2,0,10.1,10.1,0.9533
Area_5_office_8,0.28034557235421165,6,7,6,0,1,59.2,19.75,0.6832,1,1,1,0,0,0.0,0.0,0.9999,2,3,2,0,1,6.55,6.55,0.9547
Area_5_office_9,0.612464854732896,5,5,3,2,2,0.77,0.3,0.9977,0,0,0,0,0,,,,1,3,1,0,2,2.1,2.1,0.9843
Area_5_pantry_1,0.4028743625405656,5,6,5,0,1,4.98,0.3,0.9503,0,1,0,0,1,,,,0,0,0,0,0,,,
Area_5_storage_1,0.19621682665160925,11,11,10,1,1,77.65,3.35,0.6895,1,1,1,0,0,7.3,7.3,0.9206,0,1,0,0,1,,,
Area_5_storage_2,0.16913521261347347,9,22,8,1,14,87.32,56.75,0.6552,2,1,1,1,0,18.4,18.4,0.8342,0,0,0,0,0,,,
Area_5_storage_3,0.26703296703296703,3,4,3,0,1,21.77,29.7,0.866,0,0,0,0,0,,,,0,0,0,0,0,,,
Area_5_storage_4,0.14391014391014392,6,5,5,1,0,15.92,5.2,0.8858,2,2,2,0,0,56.15,56.15,0.5772,0,0,0,0,0,,,
